"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by","rank_user","show_movies","rank_admin","rank_admin href","show_predictions","show_movies 2","show_movies href","rank_user href"
",  2nd round - Group D","2017-06-01 18:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","Belarus","https://women.volleybox.net/tr/belarus-t697/matches","https://volleybox.net/media/upload/teams/nt_flag_Belarus.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/belarus-italy-c181470","1 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  2nd round - Group D","2017-06-02 16:00","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","3 : 0","https://women.volleybox.net/tr/latvia-t958/matches","https://volleybox.net/media/upload/teams/nt_flag_Latvia.png","Letonya","https://women.volleybox.net/tr/italy-latvia-c181473","1 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  2nd round - Group D","2017-06-03 18:30","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","İspanya","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/upload/teams/nt_flag_Spain.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/spain-italy-c80149","3 yıl önce önce  tarafından eklendi","B…2","","","","","","",""
",  2nd round - Group D","2017-06-04 21:00","Dünya Şampiyonası Elemeleri 2018","https://women.volleybox.net/tr/women-european-world-championship-qualification-2018-o21785/matches","Sportcampus Lange Munte, Kortrijk","https://women.volleybox.net/tr/sportcampus-lange-munte-a2444/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/italy-belgium-c181478","1 yıl önce önce  tarafından eklendi","J…e","","","","","","",""
",  Group C","2018-05-16 01:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Devaney Center, Lincoln - Nebraska","https://women.volleybox.net/tr/devaney-center-a1041/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/turkey-italy-c10065","7 yıl önce önce  tarafından eklendi","","1","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group C","2018-05-17 01:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Devaney Center, Lincoln - Nebraska","https://women.volleybox.net/tr/devaney-center-a1041/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/poland-italy-c10067","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group C","2018-05-18 03:30","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Devaney Center, Lincoln - Nebraska","https://women.volleybox.net/tr/devaney-center-a1041/matches","Amerika Birleşik Devletleri","https://women.volleybox.net/tr/usa-t1255/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/usa-italy-c10070","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group F","2018-05-22 09:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/russia-t1129/matches","https://volleybox.net/media/img/light-px.png","Rusya","https://women.volleybox.net/tr/italy-russia-c10083","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group F","2018-05-23 10:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","Almanya","https://women.volleybox.net/tr/italy-germany-c10085","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
",  Group F","2018-05-24 13:00","Voleybol Milletler Ligi 2018","https://women.volleybox.net/tr/women-volleyball-nations-league-2018-o5943/matches","Suwon Gymnasium, Suwon","https://women.volleybox.net/tr/suwon-gymnasium-a453/matches","Güney Kore","https://women.volleybox.net/tr/south-korea-t946/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/south-korea-italy-c10088","7 yıl önce önce  tarafından eklendi","","","Volleybox","https://women.volleybox.net/tr/user/Volleybox","","","",""
