"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","show_predictions","show_movies","show_movies href","show_movies 2","show_movies 3","connected_by","rank_user","rank_user href","show_movies 4"
",  1st round - Group B","2022-06-02 19:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Belçika","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/upload/teams/nt_flag_Belgium.png","1 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/belgium-italy-c100315","58","1","https://women.volleybox.net/tr/frame/match_report/0/16613","2","5","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk",""
",  1st round - Group B","2022-06-03 16:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Hollanda","https://women.volleybox.net/tr/netherlands-t1057/matches","https://volleybox.net/media/upload/teams/nt_flag_Netherlands.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/netherlands-italy-c100317","63","1","https://women.volleybox.net/tr/frame/match_report/0/16623","5","2","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk",""
",  1st round - Group B","2022-06-04 16:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","TVF Ziraat Bankkart Voleybol Salonu, Ankara","https://women.volleybox.net/tr/tvf-ziraat-bankkart-voleybol-salonu-a546/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/upload/teams/nt_flag_China.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/china-italy-c100320","65","1","https://women.volleybox.net/tr/frame/match_report/0/16631","1","4","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk","4"
",  2nd round - Group A","2022-06-15 03:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Sırbistan","https://women.volleybox.net/tr/serbia-t1159/matches","https://volleybox.net/media/upload/teams/nt_flag_Serbia.png","1 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/upload/teams/nt_flag_Italy.png","İtalya","https://women.volleybox.net/tr/serbia-italy-c100358","71","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256509707","1","2","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk",""
",  2nd round - Group A","2022-06-17","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 2","https://women.volleybox.net/tr/dominican-republic-t805/matches","https://volleybox.net/media/img/light-px.png","Dominik Cumhuriyeti","https://women.volleybox.net/tr/italy-dominican-republic-c100361","71","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510136","1","2","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk",""
",  2nd round - Group A","2022-06-17 21:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","Almanya","https://women.volleybox.net/tr/germany-t853/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/germany-italy-c100363","71","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510349","1","2","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk",""
",  2nd round - Group A","2022-06-18 21:00","Voleybol Milletler Ligi 2022","https://women.volleybox.net/tr/women-volleyball-nations-league-2022-o19798/matches","Ginásio Nilson Nelson, Brasilia","https://women.volleybox.net/tr/ginasio-nilson-nelson-a52/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/brazil-t724/matches","https://volleybox.net/media/img/light-px.png","Brezilya","https://women.volleybox.net/tr/italy-brazil-c100366","65","1","http://www.fivb.org/vis2009/getdocument.asmx?no=256510514","1","2","3 yıl önce önce  tarafından eklendi","atilberk","https://women.volleybox.net/tr/user/atilberk",""
",  Group C","2022-06-26 20:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/spain-t1186/matches","https://volleybox.net/media/img/light-px.png","İspanya","https://women.volleybox.net/tr/italy-spain-c117851","","","","","","2 yıl önce önce  tarafından eklendi","B…2","",""
",  Group C","2022-06-27 20:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","Türkiye","https://women.volleybox.net/tr/turkey-t1231/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","İtalya","https://women.volleybox.net/tr/turkey-italy-c117856","","","","","","2 yıl önce önce  tarafından eklendi","B…2","",""
",  Group C","2022-06-28 23:00","Akdeniz Oyunları 2022","https://women.volleybox.net/tr/women-mediterranean-games-2022-o24534/matches","Bir El Djir Sports Hall, Oran","https://women.volleybox.net/tr/bir-el-djir-sports-hall-a4463/matches","İtalya","https://women.volleybox.net/tr/italy-t922/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/algeria-t649/matches","https://volleybox.net/media/img/light-px.png","Cezayir","https://women.volleybox.net/tr/italy-algeria-c117862","","","","","","2 yıl önce önce  tarafından eklendi","B…2","",""
