"info","info 2","info 3","info href","tooltip-info","tooltip-info href","team_name","team_name href","logo src","score","tooltip_item href 2","logo src 2","guest","btn-add-review href","connected_by"
",  Group K","2014-07-26 13:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Coliseo Guillermo Angulo, Carolina","https://women.volleybox.net/tr/coliseo-guillermo-angulo-a3247/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","1 : 3","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/upload/teams/nt_flag_Argentina.png","Arjantin","https://women.volleybox.net/tr/cuba-argentina-c63234","4 yıl önce önce  tarafından eklendi"
",  Group K","2014-07-27 16:00","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Coliseo Guillermo Angulo, Carolina","https://women.volleybox.net/tr/coliseo-guillermo-angulo-a3247/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/upload/teams/nt_flag_Puerto_Rico.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/upload/teams/nt_flag_Cuba.png","Küba","https://women.volleybox.net/tr/puerto-rico-cuba-c63238","4 yıl önce önce  tarafından eklendi"
",  Group M","2014-08-01 10:40","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Polonya","https://women.volleybox.net/tr/poland-t1114/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/poland-cuba-c63247","4 yıl önce önce  tarafından eklendi"
",  Group M","2014-08-02 14:10","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Peru","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/peru-cuba-c63250","4 yıl önce önce  tarafından eklendi"
",  Group M","2014-08-03 11:40","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Coliseo Gran Chimu, Trujillo","https://women.volleybox.net/tr/coliseo-gran-chimu-a1479/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","Porto Riko","https://women.volleybox.net/tr/cuba-puerto-rico-c63251","4 yıl önce önce  tarafından eklendi"
",  Group N","2014-08-08 14:40","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Microest. Lomas de Zamora, Lomas de Zamora","https://women.volleybox.net/tr/microest-lomas-de-zamora-a632/matches","Kanada","https://women.volleybox.net/tr/canada-t742/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/canada-cuba-c63253","4 yıl önce önce  tarafından eklendi"
",  Group N","2014-08-09 14:10","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Microest. Lomas de Zamora, Lomas de Zamora","https://women.volleybox.net/tr/microest-lomas-de-zamora-a632/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","2 : 3","https://women.volleybox.net/tr/peru-t1108/matches","https://volleybox.net/media/img/light-px.png","Peru","https://women.volleybox.net/tr/cuba-peru-c63255","4 yıl önce önce  tarafından eklendi"
",  Group N","2014-08-10 16:40","World Grand Prix 2014","https://women.volleybox.net/tr/women-world-grand-prix-2014-o413/matches","Microest. Lomas de Zamora, Lomas de Zamora","https://women.volleybox.net/tr/microest-lomas-de-zamora-a632/matches","Arjantin","https://women.volleybox.net/tr/argentina-t667/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/argentina-cuba-c63258","4 yıl önce önce  tarafından eklendi"
",  Group D","2014-09-23 16:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaFlorio, Bari","https://women.volleybox.net/tr/palaflorio-a199/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/belgium-t700/matches","https://volleybox.net/media/img/light-px.png","Belçika","https://women.volleybox.net/tr/cuba-belgium-c32068","5 yıl önce önce  tarafından eklendi"
",  Group D","2014-09-24 16:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaFlorio, Bari","https://women.volleybox.net/tr/palaflorio-a199/matches","Porto Riko","https://women.volleybox.net/tr/puerto-rico-t1120/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/puerto-rico-cuba-c32071","5 yıl önce önce  tarafından eklendi"
",  Group D","2014-09-25 13:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaFlorio, Bari","https://women.volleybox.net/tr/palaflorio-a199/matches","Küba","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","0 : 3","https://women.volleybox.net/tr/japan-t928/matches","https://volleybox.net/media/img/light-px.png","Japonya","https://women.volleybox.net/tr/cuba-japan-c32073","5 yıl önce önce  tarafından eklendi"
",  Group D","2014-09-27 16:00","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaFlorio, Bari","https://women.volleybox.net/tr/palaflorio-a199/matches","Çin","https://women.volleybox.net/tr/china-t760/matches","https://volleybox.net/media/img/light-px.png","3 : 0","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/china-cuba-c32077","5 yıl önce önce  tarafından eklendi"
",  Group D","2014-09-28 06:30","Dünya Şampiyonası 2014","https://women.volleybox.net/tr/women-world-championships-2014-o370/matches","PalaFlorio, Bari","https://women.volleybox.net/tr/palaflorio-a199/matches","Azerbaycan","https://women.volleybox.net/tr/azerbaijan-t682/matches","https://volleybox.net/media/img/light-px.png","3 : 1","https://women.volleybox.net/tr/cuba-t787/matches","https://volleybox.net/media/img/light-px.png","Küba","https://women.volleybox.net/tr/azerbaijan-cuba-c32078","5 yıl önce önce  tarafından eklendi"
